date,gold,autos,rtail,oil_industry
1983-11-01,17.89,0.25,4.14,-0.49
1983-12-01,-1.99,0.64,-5.96,2.18
1984-01-01,-0.86,-3.94,-6.29,9.93
1984-02-01,13.84,-6.65,-4.36,4.03
1984-03-01,-0.01,-2.39,0.31,0.25
1984-04-01,-9.78,1.12,0.83,4.0
1984-05-01,-3.93,-6.15,-5.09,-5.13
1984-06-01,-8.96,4.0,7.62,-1.98
1984-07-01,-19.81,4.06,1.02,-7.45
1984-08-01,13.92,9.7,9.08,14.02
1984-09-01,3.88,2.36,0.28,2.27
1984-10-01,-7.95,2.1,-1.15,-4.31
1984-11-01,-3.96,-2.83,-2.82,-1.04
1984-12-01,-13.38,4.53,-0.09,-0.54
1985-01-01,10.51,8.89,12.75,6.53
1985-02-01,-5.63,-2.32,2.36,3.92
1985-03-01,21.19,-4.89,-0.72,1.5
1985-04-01,-6.31,-4.31,0.27,3.86
1985-05-01,1.61,7.53,11.35,0.58
1985-06-01,-2.13,0.67,1.38,-0.6
1985-07-01,14.63,1.36,-5.69,-0.63
1985-08-01,1.27,-2.27,-0.33,1.58
1985-09-01,-9.82,-2.14,-4.24,-1.31
1985-10-01,-1.93,1.83,8.22,5.99
1985-11-01,3.37,8.1,7.41,0.31
1985-12-01,-4.9,5.22,4.14,-2.68
1986-01-01,10.02,4.62,1.64,-6.84
1986-02-01,-9.61,10.62,7.19,0.91
1986-03-01,-7.5,10.59,9.09,0.81
1986-04-01,-9.67,-7.28,-0.64,0.83
1986-05-01,0.96,3.16,11.77,7.41
1986-06-01,-6.93,-0.26,4.79,-2.03
1986-07-01,6.9,-8.25,-9.15,-5.14
1986-08-01,15.55,6.71,1.45,16.84
1986-09-01,8.11,-6.92,-8.41,-0.83
1986-10-01,-0.34,8.07,7.84,1.94
1986-11-01,3.74,1.82,1.73,3.26
1986-12-01,-3.39,-5.09,-6.75,-0.42
1987-01-01,10.52,19.07,10.33,14.23
1987-02-01,19.55,3.57,11.69,-1.79
1987-03-01,26.47,6.45,1.91,11.96
1987-04-01,4.26,8.03,-2.42,0.13
1987-05-01,-7.08,-2.19,0.54,3.0
1987-06-01,-4.42,2.05,7.5,5.87
1987-07-01,21.18,6.44,6.68,3.17
1987-08-01,1.95,4.85,3.36,1.9
1987-09-01,5.48,-6.62,-7.13,-3.84
1987-10-01,-30.87,-27.44,-28.89,-18.74
1987-11-01,19.91,-5.83,-9.56,-10.73
1987-12-01,-0.88,9.59,8.0,6.72
1988-01-01,-16.65,6.86,7.07,8.51
1988-02-01,8.49,7.88,11.92,3.56
1988-03-01,3.23,1.53,-1.36,2.6
1988-04-01,-1.12,3.3,2.19,4.61
1988-05-01,6.13,0.86,-1.45,-0.41
1988-06-01,-0.06,7.65,6.76,-2.11
1988-07-01,-0.3,-0.5,-0.38,3.67
1988-08-01,-5.72,-6.56,-2.3,-1.46
1988-09-01,-5.79,3.81,8.97,-2.53
1988-10-01,-1.25,4.4,2.17,1.89
1988-11-01,3.88,-0.06,-2.6,-0.23
1988-12-01,-4.54,-0.45,1.0,1.83
1989-01-01,-0.58,8.37,6.3,6.16
1989-02-01,10.22,-4.55,-1.7,-1.29
1989-03-01,-4.61,-2.63,3.04,3.89
1989-04-01,-5.77,-0.47,5.67,2.44
1989-05-01,-7.63,1.44,5.38,2.74
1989-06-01,9.25,0.65,-2.52,-1.01
1989-07-01,-2.21,4.29,10.44,3.78
1989-08-01,6.24,8.05,3.66,3.5
1989-09-01,6.14,-5.7,-2.83,1.36
1989-10-01,2.99,-6.59,-4.37,0.78
1989-11-01,14.91,-1.94,0.98,3.98
1989-12-01,1.07,-2.38,0.58,6.02
1990-01-01,7.9,-3.39,-5.6,-4.28
1990-02-01,-2.16,6.12,2.09,3.09
1990-03-01,-9.15,3.56,6.06,-0.62
1990-04-01,-11.81,-4.53,-1.68,-3.54
1990-05-01,9.77,8.05,11.88,6.01
1990-06-01,-7.04,-2.93,1.69,-2.02
1990-07-01,12.09,-2.7,-3.71,8.37
1990-08-01,-5.93,-14.58,-12.68,-1.24
1990-09-01,-0.83,-11.07,-9.36,-1.65
1990-10-01,-17.34,-2.72,-3.04,-3.94
1990-11-01,-5.18,2.95,11.75,1.64
1990-12-01,14.95,-1.25,2.88,-2.06
1991-01-01,-16.61,7.37,11.72,-2.03
1991-02-01,5.94,10.49,7.69,8.54
1991-03-01,-2.2,-0.55,9.38,1.32
1991-04-01,-1.4,-2.73,2.61,2.39
1991-05-01,3.82,16.11,8.25,-1.39
1991-06-01,10.04,-2.77,-4.4,-3.7
1991-07-01,-3.85,-1.36,5.63,5.07
1991-08-01,-9.33,-3.48,4.94,1.61
1991-09-01,4.51,-2.33,-4.15,-0.69
1991-10-01,2.72,-2.38,-3.12,2.04
1991-11-01,3.35,-8.82,-0.44,-7.74
1991-12-01,-1.93,5.96,13.31,2.15
1992-01-01,8.81,10.69,-0.39,-4.11
1992-02-01,-2.99,14.45,2.96,-0.58
1992-03-01,-12.53,1.44,-1.36,-2.71
1992-04-01,-3.88,11.17,-4.61,9.54
1992-05-01,10.98,-1.9,-0.18,3.17
1992-06-01,10.02,4.54,-1.78,-3.46
1992-07-01,1.62,-0.92,4.26,5.28
1992-08-01,-5.92,-11.08,0.11,2.56
1992-09-01,-1.36,-1.77,4.34,0.07
1992-10-01,-9.15,0.27,4.49,-3.52
1992-11-01,-11.84,8.16,6.97,-2.69
1992-12-01,3.73,3.18,0.22,2.01
1993-01-01,-5.91,9.74,-0.27,2.79
1993-02-01,5.82,-0.05,-1.71,6.04
1993-03-01,17.7,6.14,2.9,4.11
1993-04-01,9.21,3.92,-9.28,1.12
1993-05-01,9.62,0.42,5.92,1.81
1993-06-01,2.97,4.01,-3.44,-1.09
1993-07-01,8.89,2.51,0.12,0.46
1993-08-01,-11.07,-0.82,3.64,4.28
1993-09-01,-10.7,0.93,-0.5,1.33
1993-10-01,9.03,9.46,4.58,-1.96
1993-11-01,-2.73,1.55,1.63,-5.99
1993-12-01,12.5,4.43,-3.93,0.59
1994-01-01,-1.83,8.8,0.14,4.89
1994-02-01,-0.39,-4.98,2.78,-2.96
1994-03-01,5.23,-6.89,-4.35,-3.56
1994-04-01,-12.82,-0.07,0.27,4.2
1994-05-01,1.26,-1.96,-2.54,0.94
1994-06-01,-3.52,-3.43,-1.62,-2.72
1994-07-01,-1.06,4.09,1.02,3.27
1994-08-01,5.17,-1.63,4.39,-0.11
1994-09-01,8.19,-5.53,-2.53,-2.1
1994-10-01,-10.74,-1.54,1.3,7.43
1994-11-01,-11.94,-5.03,-2.47,-4.84
1994-12-01,1.87,4.77,-4.71,-1.01
1995-01-01,-10.72,-6.1,0.81,0.38
1995-02-01,5.12,4.97,2.09,4.52
1995-03-01,18.61,1.67,4.02,5.28
1995-04-01,-2.97,2.53,-3.57,2.24
1995-05-01,-0.31,5.51,2.8,4.08
1995-06-01,-0.58,1.02,5.13,-3.09
1995-07-01,2.04,2.45,4.09,2.3
1995-08-01,2.28,0.3,-3.46,-1.6
1995-09-01,-0.89,-0.41,3.35,1.29
1995-10-01,-12.78,-5.55,-8.14,-0.23
1995-11-01,12.46,5.44,6.92,4.8
1995-12-01,3.0,4.48,-1.56,5.8
1996-01-01,25.34,3.1,-1.42,-0.41
1996-02-01,0.91,1.73,5.53,1.03
1996-03-01,-0.21,5.99,8.24,5.01
1996-04-01,0.96,2.94,4.39,3.47
1996-05-01,4.86,1.52,5.04,0.49
1996-06-01,-17.02,-5.26,-1.16,0.96
1996-07-01,-0.38,-4.29,-7.69,-4.63
1996-08-01,5.03,3.28,7.22,2.94
1996-09-01,-8.38,-0.67,3.49,3.99
1996-10-01,-3.0,4.88,-2.05,5.97
1996-11-01,0.47,6.88,2.12,5.54
1996-12-01,-1.52,-2.47,-4.24,0.77
1997-01-01,-6.25,3.53,0.28,4.34
1997-02-01,21.91,0.23,5.74,-5.75
1997-03-01,-15.75,-4.05,-0.74,5.26
1997-04-01,-10.95,4.29,1.64,0.02
1997-05-01,9.21,6.08,6.4,7.34
1997-06-01,-2.91,3.06,6.71,1.28
1997-07-01,4.18,8.01,8.95,7.43
1997-08-01,2.4,1.29,-2.85,0.3
1997-09-01,8.58,5.69,5.43,6.27
1997-10-01,-20.69,-3.84,-1.24,-2.0
1997-11-01,-17.45,-2.23,6.47,-3.48
1997-12-01,-2.54,4.62,-0.64,-1.47
1998-01-01,-0.91,0.74,1.75,-5.66
1998-02-01,1.87,12.33,11.12,6.78
1998-03-01,6.73,6.01,7.47,4.8
1998-04-01,5.77,1.49,-0.31,3.74
1998-05-01,-19.85,9.63,3.8,-4.27
1998-06-01,-4.67,2.23,6.89,-1.23
1998-07-01,-17.03,-0.47,-2.14,-6.8
1998-08-01,-24.67,-19.81,-13.15,-10.04
1998-09-01,68.98,1.9,-0.43,13.12
1998-10-01,-0.42,10.77,12.36,1.1
1998-11-01,-8.04,5.15,11.04,0.5
1998-12-01,-5.33,3.73,10.51,-1.72
1999-01-01,-0.85,7.81,3.32,-5.59
1999-02-01,-2.73,-5.43,-1.0,-3.59
1999-03-01,-4.25,-0.89,3.5,14.71
1999-04-01,25.92,9.33,-0.51,15.45
1999-05-01,-22.21,-5.0,-3.48,-2.67
1999-06-01,7.82,-1.46,9.06,-0.55
1999-07-01,-6.22,-7.67,-6.15,2.16
1999-08-01,7.22,4.19,-6.3,1.6
1999-09-01,21.67,-6.72,2.52,-3.69
1999-10-01,-12.96,2.78,5.97,-2.55
1999-11-01,3.99,-3.47,4.06,4.03
1999-12-01,-1.24,3.3,8.21,-0.23
2000-01-01,-15.71,-1.18,-14.29,-1.29
2000-02-01,5.39,-8.72,-4.16,-5.81
2000-03-01,-2.17,9.92,14.41,13.76
2000-04-01,2.44,11.73,-5.5,-1.3
2000-05-01,2.23,-14.99,-3.13,11.02
2000-06-01,-2.91,-12.1,-1.98,-6.17
2000-07-01,-19.2,4.9,-1.96,-2.7
2000-08-01,3.89,5.94,-5.29,8.74
2000-09-01,-7.91,-5.14,2.45,4.62
2000-10-01,-20.31,2.92,-2.08,-2.84
2000-11-01,16.62,-13.36,-0.23,-2.55
2000-12-01,1.45,-0.12,4.33,7.38
2001-01-01,-1.01,15.09,9.76,-3.43
2001-02-01,10.47,-0.65,-6.17,-0.13
2001-03-01,-5.32,-2.12,-2.0,-0.19
2001-04-01,14.89,7.47,4.97,10.02
2001-05-01,9.32,-3.28,1.68,0.19
2001-06-01,1.32,4.61,-2.61,-7.42
2001-07-01,-0.73,3.79,5.43,-2.12
2001-08-01,8.97,-13.77,-8.39,-3.57
2001-09-01,13.37,-17.87,-9.77,-6.12
2001-10-01,-5.29,-1.72,3.44,4.96
2001-11-01,-11.38,17.38,13.05,-4.12
2001-12-01,2.23,-3.41,4.96,5.93
2002-01-01,14.2,3.09,2.09,-2.79
2002-02-01,11.3,5.97,0.34,5.61
2002-03-01,15.15,7.49,1.53,7.64
2002-04-01,4.1,1.68,-2.21,-4.55
2002-05-01,11.09,0.63,-1.27,-0.8
2002-06-01,-14.4,-9.46,-5.12,0.06
2002-07-01,-8.39,-12.51,-11.99,-11.65
2002-08-01,17.31,-1.47,1.91,0.58
2002-09-01,-3.82,-13.29,-9.49,-7.85
2002-10-01,-9.9,-8.58,6.46,3.14
2002-11-01,-4.83,17.49,2.92,2.95
2002-12-01,24.36,-7.74,-8.03,0.74
2003-01-01,-0.82,-2.99,-5.1,-2.39
2003-02-01,-5.88,-5.89,-0.52,1.85
2003-03-01,-4.54,-3.68,5.51,1.54
2003-04-01,3.51,18.82,9.73,-0.5
2003-05-01,9.67,3.7,2.52,8.5
2003-06-01,9.33,2.6,2.8,-0.99
2003-07-01,12.42,6.25,4.33,-2.52
2003-08-01,10.23,8.71,7.91,6.18
2003-09-01,-1.38,-5.07,-5.8,-2.18
2003-10-01,12.02,9.32,9.85,1.56
2003-11-01,11.74,3.72,-0.45,0.64
2003-12-01,1.85,14.72,-3.17,13.47
2004-01-01,-13.71,-2.61,-0.2,0.31
2004-02-01,5.45,-1.24,6.72,4.52
2004-03-01,7.0,-2.07,-0.11,-0.06
2004-04-01,-21.1,3.67,-3.21,2.66
2004-05-01,6.43,-2.81,0.74,0.48
2004-06-01,-3.12,5.69,-0.34,5.36
2004-07-01,2.89,-3.66,-3.47,3.4
2004-08-01,9.47,-3.4,-0.81,-1.33
2004-09-01,4.55,2.09,2.89,8.82
2004-10-01,3.63,-4.32,3.31,0.65
2004-11-01,-0.63,8.07,2.47,6.31
2004-12-01,-6.81,5.02,3.07,-2.31
2005-01-01,-6.48,-8.01,-0.94,2.99
2005-02-01,8.04,-0.34,0.07,19.57
2005-03-01,-5.95,-8.55,0.71,-3.44
2005-04-01,-10.45,-11.18,-5.66,-5.58
2005-05-01,-1.41,10.23,6.67,1.95
2005-06-01,4.87,2.91,3.04,5.75
2005-07-01,-3.88,7.56,6.03,5.54
2005-08-01,4.72,-4.14,-6.6,5.73
2005-09-01,19.38,-5.18,-2.2,7.2
2005-10-01,-10.07,-7.86,2.19,-10.17
2005-11-01,8.62,-1.08,3.68,1.02
2005-12-01,14.71,-1.51,-1.06,0.41
2006-01-01,16.62,5.03,0.7,12.48
2006-02-01,-12.86,-2.31,1.28,-8.14
2006-03-01,0.23,2.32,2.23,3.95
2006-04-01,11.52,-1.08,-1.35,4.05
2006-05-01,-11.73,2.56,-1.4,-3.53
2006-06-01,1.38,1.79,0.47,3.06
2006-07-01,-3.17,-3.75,-4.74,5.67
2006-08-01,1.47,3.12,2.38,-3.05
2006-09-01,-15.69,3.33,6.31,-3.51
2006-10-01,5.96,3.89,3.17,4.98
2006-11-01,4.52,1.0,-2.26,8.65
2006-12-01,-3.5,1.52,1.76,-1.67
